company_name,dapp_name,Vulnerability,swc_type,granularity,location,vulnerable_link
Blockchain Labs NZ,BitHero,Typo in function name setEarlyParicipantWhitelist,Typographical Error,Line Level,410,https://github.com/BlockchainLabsNZ/BitHeroToken/blob/audit/contracts/CrowdsaleBase.sol#L410
Blockchain Labs NZ,BitHero,Avoid magic number,not_swc,,,
Blockchain Labs NZ,BitHero,Use .transfer instead of .send ,not_swc,,,
Blockchain Labs NZ,BitHero,Use explicit types for variables,not_swc,,,
Blockchain Labs NZ,BitHero,Using require is recommended over throw ,not_swc,,,
Blockchain Labs NZ,BitHero,Confusing logic in isBreakingCap function,not_swc,,,
Blockchain Labs NZ,BitHero,CrowdsaleBase has no Solidity version specified,Floating Pragma,Subcontract Level,1-464,https://github.com/BlockchainLabsNZ/BitHeroToken/blob/master/CrowdsaleBase.sol
Blockchain Labs NZ,BitHero,Make visibility explicitly declared on functions,Function Default Visibility,Line Level,"137, 148, 159",https://github.com/BlockchainLabsNZ/BitHeroToken/blob/60e3c926c780cc3f3e04f810216f8826c97b625c/contracts/AllocatedCrowdsaleMixin.sol#L37，https://github.com/BlockchainLabsNZ/BitHeroToken/blob/60e3c926c780cc3f3e04f810216f8826c97b625c/contracts/Crowdsale.sol#L148，https://github.com/BlockchainLabsNZ/BitHeroToken/blob/60e3c926c780cc3f3e04f810216f8826c97b625c/contracts/Crowdsale.sol#L159
Blockchain Labs NZ,BitHero,Old versions of Solidity used,Outdated Compiler Version,Line Level,7,https://github.com/BlockchainLabsNZ/BitHeroToken/blob/master/DefaultFinalizeAgent.sol#L7
BlockSec,blocksec_alpaca_v1.0_signed,Avoiding Duplicated Calculations,Code With No Effects,Function Level,456-516,https://github.com/alpaca-finance/bsc-alpaca-contract/blob/cb13e32fe5a4ba6f63b0235bd4624715592e4abe/contracts/8.10/protocol/DeltaNeutralVault.sol#L456-L516
